CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0721_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10721.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 72
CASTNO = 1
DATE = 20150429
TIME = 1825
LATITUDE = 3.6695
LONGITUDE = -151.0022
DEPTH =  4938
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       5.0,2,   29.0077,2,   34.7159,2,     197.1,2,        35,    0.0674,2
       6.0,2,   29.0071,2,   34.7150,2,     197.9,2,        39,    0.0686,2
       7.0,2,   29.0105,2,   34.7207,2,     197.6,2,        41,    0.0670,2
       8.0,2,   29.0138,2,   34.7266,2,     197.3,2,        47,    0.0678,2
       9.0,2,   29.0172,2,   34.7323,2,     197.0,2,        39,    0.0678,2
      10.0,2,   29.0202,2,   34.7371,2,     197.0,2,        21,    0.0674,2
      11.0,2,   29.0385,2,   34.7722,2,     197.0,2,        27,    0.0674,2
      12.0,2,   29.0442,2,   34.7951,2,     196.9,2,        37,    0.0678,2
      13.0,2,   29.0462,2,   34.8116,2,     197.5,2,        39,    0.0682,2
      14.0,2,   29.0430,2,   34.8179,2,     197.7,2,        35,    0.0682,2
      15.0,2,   29.0376,2,   34.8320,2,     197.7,2,        29,    0.0682,2
      16.0,2,   29.0300,2,   34.8442,2,     197.7,2,        42,    0.0702,2
      17.0,2,   29.0169,2,   34.8600,2,     197.8,2,        30,    0.0714,2
      18.0,2,   29.0065,2,   34.8719,2,     198.0,2,        31,    0.0694,2
      19.0,2,   28.9931,2,   34.8894,2,     197.9,2,        34,    0.0698,2
      20.0,2,   28.9811,2,   34.9013,2,     198.4,2,        39,    0.0698,2
      21.0,2,   28.9723,2,   34.9078,2,     199.0,2,        38,    0.0722,2
      22.0,2,   28.9597,2,   34.9164,2,     198.9,2,        25,    0.0722,2
      23.0,2,   28.9462,2,   34.9277,2,     198.9,2,        26,    0.0727,2
      24.0,2,   28.9365,2,   34.9353,2,     199.2,2,        41,    0.0739,2
      25.0,2,   28.9255,2,   34.9463,2,     199.6,2,        36,    0.0751,2
      26.0,2,   28.9199,2,   34.9561,2,     199.4,2,        25,    0.0755,2
      27.0,2,   28.9181,2,   34.9661,2,     199.5,2,        27,    0.0751,2
      28.0,2,   28.9164,2,   34.9719,2,     199.3,2,        58,    0.0759,2
      29.0,2,   28.9142,2,   34.9803,2,     199.8,2,        54,    0.0771,2
      30.0,2,   28.9133,2,   34.9863,2,     200.1,2,        65,    0.0775,2
      31.0,2,   28.9128,2,   34.9922,2,     199.7,2,        32,    0.0767,2
      32.0,2,   28.9124,2,   35.0001,2,     200.0,2,        29,    0.0767,2
