CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0531_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10531.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 53
CASTNO = 1
DATE = 20150425
TIME = 1021
LATITUDE = 0.25133
LONGITUDE = -150.999
DEPTH =  4368
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       3.0,2,   28.1782,3,   35.0988,3,     196.0,3,        29,    0.0788,2
       4.0,2,   28.1766,3,   35.0991,3,     196.6,3,        58,    0.0788,2
       5.0,2,   28.1763,2,   35.0993,2,     196.6,2,        41,    0.0804,2
       6.0,2,   28.1792,2,   35.0990,2,     196.8,2,        40,    0.0800,2
       7.0,2,   28.1779,2,   35.0991,2,     196.6,2,        39,    0.0792,2
       8.0,2,   28.1784,2,   35.0990,2,     196.1,2,        42,    0.0808,2
       9.0,2,   28.1800,2,   35.0988,2,     196.6,2,        52,    0.0792,2
      10.0,2,   28.1767,2,   35.0990,2,     196.9,2,        53,    0.0800,2
      11.0,2,   28.1768,2,   35.0989,2,     196.8,2,        56,    0.0829,2
      12.0,2,   28.1776,2,   35.0984,2,     196.5,2,        43,    0.0800,2
      13.0,2,   28.1788,2,   35.0983,2,     196.6,2,        33,    0.0808,2
      14.0,2,   28.1797,2,   35.0985,2,     196.4,2,        43,    0.0808,2
      15.0,2,   28.1794,2,   35.0985,2,     196.4,2,        33,    0.0792,2
      16.0,2,   28.1800,2,   35.0987,2,     196.5,2,        39,    0.0784,2
      17.0,2,   28.1806,2,   35.0986,2,     196.7,2,        30,    0.0788,2
      18.0,2,   28.1812,2,   35.0986,2,     196.5,2,        45,    0.0788,2
      19.0,2,   28.1797,2,   35.0984,2,     196.5,2,        42,    0.0808,2
      20.0,2,   28.1799,2,   35.0984,2,     195.9,2,        44,    0.0792,2
      21.0,2,   28.1796,2,   35.0982,2,     196.6,2,        61,    0.0800,2
      22.0,2,   28.1645,2,   35.0957,2,     196.7,2,        39,    0.0788,2
      23.0,2,   28.1494,2,   35.0931,2,     196.7,2,        37,    0.0804,2
      24.0,2,   28.1344,2,   35.0905,2,     196.7,2,        61,    0.0796,2
      25.0,2,   28.1164,2,   35.0890,2,     196.8,2,        48,    0.0796,2
      26.0,2,   28.1106,2,   35.0886,2,     196.8,2,        45,    0.0824,2
      27.0,2,   28.0974,2,   35.0882,2,     196.3,2,        54,    0.0816,2
      28.0,2,   28.0937,2,   35.0879,2,     196.3,2,        45,    0.0824,2
      29.0,2,   28.0890,2,   35.0882,2,     195.8,2,        36,    0.0833,2
      30.0,2,   28.0796,2,   35.0880,2,     195.7,2,        42,    0.0853,2
      31.0,2,   28.0738,2,   35.0880,2,     195.4,2,        63,    0.0853,2
      32.0,2,   28.0542,2,   35.0882,2,     195.0,2,        45,    0.0837,2
      33.0,2,   28.0456,2,   35.0883,2,     194.7,2,        52,    0.0829,2
      34.0,2,   28.0418,2,   35.0881,2,     194.5,2,        49,    0.0812,2
      35.0,2,   28.0350,2,   35.0892,2,     194.1,2,        44,    0.0853,2
      36.0,2,   28.0290,2,   35.0901,2,     194.2,2,        43,    0.0812,2
      37.0,2,   28.0228,2,   35.0912,2,     193.4,2,        69,    0.0829,2
      38.0,2,   28.0135,2,   35.0925,2,     193.7,2,        40,    0.0812,2
      39.0,2,   28.0028,2,   35.0952,2,     193.6,2,        34,    0.0804,2
      40.0,2,   27.9963,2,   35.0979,2,     193.3,2,        58,    0.0796,2
      41.0,2,   27.9911,2,   35.0993,2,     192.3,2,        63,    0.0796,2
      42.0,2,   27.9820,2,   35.1016,2,     192.0,2,        42,    0.0780,2
      43.0,2,   27.9715,2,   35.1033,2,     191.8,2,        38,    0.0784,2
      44.0,2,   27.9600,2,   35.1040,2,     191.6,2,        38,    0.0784,2
      45.0,2,   27.9460,2,   35.1051,2,     191.4,2,        52,    0.0804,2
      46.0,2,   27.9414,2,   35.1053,2,     190.9,2,        78,    0.0780,2
      47.0,2,   27.9227,2,   35.1056,2,     190.8,2,        59,    0.0780,2
      48.0,2,   27.9149,2,   35.1062,2,     190.3,2,        29,    0.0775,2
      49.0,2,   27.9068,2,   35.1065,2,     190.4,2,        25,    0.0775,2
      50.0,2,   27.8950,2,   35.1076,2,     190.1,2,        35,    0.0780,2
      51.0,2,   27.8852,2,   35.1077,2,     189.5,2,        58,    0.0775,2
      52.0,2,   27.8762,2,   35.1083,2,     189.4,2,        66,    0.0771,2
      53.0,2,   27.8640,2,   35.1103,2,     189.8,2,        40,    0.0780,2
      54.0,2,   27.8594,2,   35.1131,2,     189.2,2,        37,    0.0759,2
      55.0,2,   27.8523,2,   35.1160,2,     189.2,2,        49,    0.0763,2
      56.0,2,   27.8382,2,   35.1192,2,     189.0,2,        49,    0.0755,2
      57.0,2,   27.8283,2,   35.1216,2,     188.3,2,        47,    0.0755,2
      58.0,2,   27.8150,2,   35.1244,2,     187.8,2,        44,    0.0751,2
      59.0,2,   27.7981,2,   35.1264,2,     187.5,2,        31,    0.0747,2
      60.0,2,   27.7757,2,   35.1292,2,     187.5,2,        36,    0.0735,2
      61.0,2,   27.7557,2,   35.1327,2,     186.5,2,        53,    0.0718,2
      62.0,2,   27.7352,2,   35.1368,2,     186.1,2,        51,    0.0722,2
      63.0,2,   27.7187,2,   35.1391,2,     185.8,2,        36,    0.0718,2
      64.0,2,   27.6977,2,   35.1424,2,     185.9,2,        25,    0.0722,2
      65.0,2,   27.6799,2,   35.1442,2,     185.5,2,        22,    0.0727,2
      66.0,2,   27.6613,2,   35.1470,2,     184.7,2,        22,    0.0706,2
      67.0,2,   27.6494,2,   35.1509,2,     184.4,2,        41,    0.0706,2
      68.0,2,   27.6435,2,   35.1549,2,     183.9,2,        49,    0.0722,2
      69.0,2,   27.6380,2,   35.1636,2,     183.4,2,        34,    0.0702,2
      70.0,2,   27.6358,2,   35.1714,2,     182.8,2,        29,    0.0710,2
      71.0,2,   27.6334,2,   35.1780,2,     182.2,2,        29,    0.0739,2
      72.0,2,   27.6323,2,   35.1815,2,     181.9,2,        37,    0.0682,2
      73.0,2,   27.6354,2,   35.1873,2,     181.3,2,        58,    0.0674,2
      74.0,2,   27.6419,2,   35.1965,2,     181.1,2,        29,    0.0674,2
      75.0,2,   27.6488,2,   35.2039,2,     180.7,2,        18,    0.0670,2
      76.0,2,   27.6611,2,   35.2150,2,     180.7,2,        17,    0.0670,2
      77.0,2,   27.6722,2,   35.2242,2,     180.2,2,        18,    0.0670,2
      78.0,2,   27.6815,2,   35.2308,2,     179.6,2,        22,    0.0666,2
      79.0,2,   27.6873,2,   35.2356,2,     178.4,2,        42,    0.0694,2
      80.0,2,   27.6987,2,   35.2446,2,     177.8,2,        34,    0.0641,2
      81.0,2,   27.7111,2,   35.2542,2,     176.7,2,        32,    0.0645,2
      82.0,2,   27.7221,2,   35.2627,2,     177.3,2,        22,    0.0617,2
      83.0,2,   27.7336,2,   35.2732,2,     177.0,2,        21,    0.0605,2
      84.0,2,   27.7481,2,   35.2877,2,     176.4,2,        23,    0.0600,2
      85.0,2,   27.7615,2,   35.3033,2,     176.0,2,        27,    0.0600,2
      86.0,2,   27.7695,2,   35.3193,2,     174.7,2,        48,    0.0588,2
      87.0,2,   27.7551,2,   35.3322,2,     172.8,2,        47,    0.0580,2
      88.0,2,   27.7452,2,   35.3415,2,     172.0,2,        29,    0.0576,2
      89.0,2,   27.7350,2,   35.3469,2,     171.3,2,        36,    0.0568,2
      90.0,2,   27.7013,2,   35.3413,2,     171.0,2,        42,    0.0568,2
      91.0,2,   27.6620,2,   35.3351,2,     170.3,2,        28,    0.0519,2
      92.0,2,   27.6544,2,   35.3347,2,     169.4,2,        21,    0.0511,2
      93.0,2,   27.6535,2,   35.3348,2,     169.0,2,        22,    0.0507,2
      94.0,2,   27.6368,2,   35.3319,2,     168.8,2,        33,    0.0511,2
      95.0,2,   27.5891,2,   35.3259,2,     168.3,2,        42,    0.0507,2
      96.0,2,   27.5370,2,   35.3267,2,     167.5,2,        37,    0.0503,2
      97.0,2,   27.5056,2,   35.3356,2,     166.9,2,        29,    0.0495,2
      98.0,2,   27.4781,2,   35.3453,2,     166.6,2,        24,    0.0495,2
      99.0,2,   27.4704,2,   35.3590,2,     166.6,2,        21,    0.0491,2
     100.0,2,   27.4469,2,   35.3544,2,     166.9,2,        18,    0.0475,2
     101.0,2,   27.3749,2,   35.3421,2,     167.6,2,        22,    0.0471,2
     102.0,2,   27.3760,2,   35.3544,2,     167.6,2,        33,    0.0459,2
     103.0,2,   27.3705,2,   35.3596,2,     166.4,2,        40,    0.0434,2
     104.0,2,   27.3495,2,   35.3572,2,     166.5,2,        23,    0.0430,2
     105.0,2,   27.3367,2,   35.3558,2,     166.3,2,        21,    0.0426,2
     106.0,2,   27.3224,2,   35.3545,2,     166.2,2,        24,    0.0418,2
     107.0,2,   27.3212,2,   35.3584,2,     166.2,2,        31,    0.0418,2
     108.0,2,   27.3193,2,   35.3622,2,     166.4,2,        37,    0.0418,2
     109.0,2,   27.2998,2,   35.3608,2,     166.1,2,        47,    0.0426,2
     110.0,2,   27.2513,2,   35.3633,2,     165.9,2,        52,    0.0410,2
     111.0,2,   27.1812,2,   35.3600,2,     165.7,2,        30,    0.0394,2
     112.0,2,   27.1640,2,   35.3590,2,     165.4,2,        25,    0.0370,2
     113.0,2,   27.1562,2,   35.3574,2,     165.0,2,        24,    0.0350,2
     114.0,2,   27.1513,2,   35.3565,2,     164.7,2,        29,    0.0345,2
     115.0,2,   27.1469,2,   35.3554,2,     164.1,2,        37,    0.0345,2
     116.0,2,   27.1413,2,   35.3541,2,     163.8,2,        43,    0.0337,2
     117.0,2,   27.1156,2,   35.3490,2,     163.4,2,        32,    0.0333,2
     118.0,2,   27.0920,2,   35.3449,2,     162.9,2,        29,    0.0333,2
     119.0,2,   27.0681,2,   35.3411,2,     162.8,2,        32,    0.0333,2
     120.0,2,   27.0555,2,   35.3484,2,     161.5,2,        50,    0.0345,2
     121.0,2,   27.0266,2,   35.3507,2,     161.0,2,        45,    0.0333,2
     122.0,2,   27.0023,2,   35.3425,2,     160.9,2,        30,    0.0333,2
     123.0,2,   26.9648,2,   35.3351,2,     160.1,2,        25,    0.0333,2
     124.0,2,   26.9240,2,   35.3374,2,     159.3,2,        23,    0.0333,2
     125.0,2,   26.8280,2,   35.3416,2,     158.4,2,        25,    0.0341,2
     126.0,2,   26.7573,2,   35.3522,2,     157.0,2,        38,    0.0354,2
     127.0,2,   26.6883,2,   35.3487,2,     155.8,2,        60,    0.0317,2
     128.0,2,   26.5855,2,   35.3657,2,     155.2,2,        27,    0.0301,2
     129.0,2,   26.5700,2,   35.3669,2,     154.6,2,        20,    0.0281,2
     130.0,2,   26.5270,2,   35.3728,2,     154.4,2,        22,    0.0281,2
     131.0,2,   26.4818,2,   35.3845,2,     154.6,2,        31,    0.0273,2
     132.0,2,   26.4402,2,   35.3915,2,     154.5,2,        51,    0.0273,2
     133.0,2,   26.3403,2,   35.3973,2,     154.7,2,        47,    0.0269,2
     134.0,2,   26.2158,2,   35.4071,2,     154.2,2,        40,    0.0265,2
     135.0,2,   26.0109,2,   35.4083,2,     153.1,2,        30,    0.0257,2
     136.0,2,   25.8538,2,   35.3914,2,     150.8,2,        22,    0.0261,2
     137.0,2,   25.7214,2,   35.3537,2,     146.3,2,        23,    0.0253,2
     138.0,2,   25.5467,2,   35.3053,2,     142.5,2,        26,    0.0249,2
     139.0,2,   25.1033,2,   35.2316,2,     139.7,2,        34,    0.0249,2
     140.0,2,   24.8243,2,   35.1941,2,     135.2,2,        40,    0.0249,2
     141.0,2,   24.3469,2,   35.1628,2,     132.6,2,        38,    0.0245,2
     142.0,2,   24.0366,2,   35.1395,2,     130.5,2,        34,    0.0237,2
     143.0,2,   23.8045,2,   35.1228,2,     129.4,2,        34,    0.0249,2
     144.0,2,   23.5672,2,   35.1219,2,     128.7,2,        34,    0.0277,2
     145.0,2,   23.1885,2,   35.1129,2,     128.7,2,        35,    0.0241,2
     146.0,2,   22.4348,2,   35.0854,2,     129.2,2,        33,    0.0245,2
     147.0,2,   21.7221,2,   35.0654,2,     129.5,2,        26,    0.0245,2
     148.0,2,   21.4321,2,   35.0624,2,     128.9,2,        23,    0.0229,2
     149.0,2,   21.2066,2,   35.1157,2,     128.8,2,        29,    0.0229,2
     150.0,2,   21.1266,2,   35.1477,2,     127.8,2,        40,    0.0229,2
     151.0,2,   21.0423,2,   35.1911,2,     127.8,2,        24,    0.0225,2
     152.0,2,   21.0004,2,   35.2230,2,     128.0,2,        18,    0.0209,2
     153.0,2,   21.0165,2,   35.2630,2,     128.0,2,        20,    0.0209,2
     154.0,2,   20.9158,2,   35.2815,2,     128.0,2,        27,    0.0213,2
     155.0,2,   20.6577,2,   35.2907,2,     128.4,2,        33,    0.0205,2
     156.0,2,   20.4393,2,   35.2945,2,     128.7,2,        36,    0.0209,2
     157.0,2,   20.1306,2,   35.2726,2,     129.3,2,        46,    0.0205,2
     158.0,2,   19.8717,2,   35.2605,2,     130.1,2,        35,    0.0201,2
     159.0,2,   19.7392,2,   35.2591,2,     130.6,2,        19,    0.0201,2
     160.0,2,   19.2916,2,   35.2668,2,     132.2,2,        17,    0.0201,2
     161.0,2,   19.0675,2,   35.2813,2,     132.8,2,        18,    0.0205,2
     162.0,2,   18.9919,2,   35.2900,2,     133.5,2,        25,    0.0205,2
     163.0,2,   18.9943,2,   35.2968,2,     135.4,2,        52,    0.0201,2
     164.0,2,   19.0173,2,   35.3302,2,     135.9,2,        48,    0.0201,2
     165.0,2,   19.0270,2,   35.3624,2,     134.2,2,        45,    0.0192,2
     166.0,2,   19.0102,2,   35.4223,2,     131.9,2,        29,    0.0180,2
     167.0,2,   18.9691,2,   35.4408,2,     129.9,2,        21,    0.0184,2
     168.0,2,   18.9400,2,   35.4363,2,     128.5,2,        20,    0.0180,2
     169.0,2,   18.8872,2,   35.4289,2,     127.5,2,        25,    0.0180,2
     170.0,2,   18.6420,2,   35.4050,2,     127.8,2,        50,    0.0176,2
     171.0,2,   18.0827,2,   35.3761,2,     129.4,2,        44,    0.0176,2
     172.0,2,   17.8657,2,   35.3410,2,     130.8,2,        36,    0.0172,2
     173.0,2,   17.3985,2,   35.2497,2,     133.4,2,        27,    0.0172,2
     174.0,2,   17.1405,2,   35.2072,2,     134.8,2,        22,    0.0172,2
     175.0,2,   16.9382,2,   35.1751,2,     136.4,2,        22,    0.0168,2
     176.0,2,   16.9070,2,   35.1748,2,     137.4,2,        42,    0.0168,2
     177.0,2,   16.9019,2,   35.1765,2,     138.6,2,        40,    0.0168,2
     178.0,2,   16.9980,2,   35.2526,2,     137.5,2,        25,    0.0168,2
     179.0,2,   17.0342,2,   35.2675,2,     136.1,2,        21,    0.0168,2
     180.0,2,   16.9607,2,   35.2637,2,     134.8,2,        20,    0.0160,2
     181.0,2,   16.8566,2,   35.2545,2,     133.6,2,        21,    0.0148,2
     182.0,2,   16.6884,2,   35.2468,2,     132.8,2,        28,    0.0160,2
     183.0,2,   16.5283,2,   35.2359,2,     132.2,2,        36,    0.0152,2
     184.0,2,   16.3216,2,   35.2255,2,     132.5,2,        42, -999.0000,9
     185.0,2,   16.0285,2,   35.1968,2,     133.4,2,        23,    0.0152,2
     186.0,2,   15.7402,2,   35.1795,2,     133.8,2,        21,    0.0144,2
     187.0,2,   15.6645,2,   35.1749,2,     133.2,2,        21,    0.0152,2
     188.0,2,   15.5177,2,   35.1580,2,     132.9,2,        25,    0.0156,2
     189.0,2,   15.0839,2,   35.1175,2,     133.1,2,        32,    0.0144,2
     190.0,2,   14.8308,2,   35.1001,2,     131.7,2,        42,    0.0144,2
     191.0,2,   14.7669,2,   35.0957,2,     130.4,2,        51,    0.0144,2
     192.0,2,   14.7206,2,   35.0913,2,     130.2,2,        39,    0.0144,2
     193.0,2,   14.6494,2,   35.0848,2,     130.5,2,        23,    0.0140,2
     194.0,2,   14.6376,2,   35.0844,2,     130.9,2,        17,    0.0148,2
     195.0,2,   14.6377,2,   35.0850,2,     131.3,2,        16,    0.0140,2
     196.0,2,   14.6335,2,   35.0846,2,     131.6,2,        16,    0.0136,2
     197.0,2,   14.6252,2,   35.0832,2,     132.0,2,        21,    0.0140,2
     198.0,2,   14.6211,2,   35.0839,2,     132.5,2,        26,    0.0140,2
     199.0,2,   14.6185,2,   35.0853,2,     132.5,2,        15,    0.0144,2
     200.0,2,   14.6175,2,   35.0851,2,     132.5,2,        15,    0.0140,2
     201.0,2,   14.6172,2,   35.0851,2,     132.7,2,        15,    0.0136,2
     202.0,2,   14.6139,2,   35.0844,2,     132.9,2,        18,    0.0140,2
     203.0,2,   14.6117,2,   35.0840,2,     133.0,2,        19,    0.0136,2
     204.0,2,   14.6068,2,   35.0830,2,     133.1,2,        26,    0.0136,2
     205.0,2,   14.6031,2,   35.0824,2,     133.3,2,        35,    0.0136,2
     206.0,2,   14.5772,2,   35.0776,2,     133.3,2,        17,    0.0136,2
     207.0,2,   14.5317,2,   35.0699,2,     133.3,2,        15,    0.0136,2
     208.0,2,   14.4432,2,   35.0588,2,     133.4,2,        14,    0.0136,2
     209.0,2,   14.3183,2,   35.0469,2,     133.6,2,        17,    0.0140,2
     210.0,2,   14.2706,2,   35.0470,2,     133.5,2,        32,    0.0136,2
     211.0,2,   14.2435,2,   35.0423,2,     132.9,2,        57,    0.0144,2
     212.0,2,   14.1857,2,   35.0424,2,     132.2,2,        29,    0.0148,2
     213.0,2,   14.1490,2,   35.0397,2,     131.5,2,        26,    0.0132,2
     214.0,2,   14.0596,2,   35.0298,2,     131.2,2,        26,    0.0124,2
     215.0,2,   13.9261,2,   35.0178,2,     131.1,2,        33,    0.0120,2
     216.0,2,   13.8581,2,   35.0076,2,     131.1,2,        30,    0.0124,2
     217.0,2,   13.8345,2,   35.0037,2,     131.5,2,        23,    0.0124,2
     218.0,2,   13.8195,2,   35.0009,2,     132.0,2,        22,    0.0124,2
     219.0,2,   13.8092,2,   34.9991,2,     132.3,2,        25,    0.0124,2
     220.0,2,   13.7947,2,   34.9961,2,     132.6,2,        46,    0.0128,2
     221.0,2,   13.7443,2,   34.9898,2,     132.7,2,        39,    0.0128,2
     222.0,2,   13.7164,2,   34.9852,2,     132.5,2,        22,    0.0152,2
     223.0,2,   13.6337,2,   34.9736,2,     132.5,2,        16,    0.0156,2
     224.0,2,   13.5780,2,   34.9709,2,     132.2,2,        15,    0.0136,2
     225.0,2,   13.5501,2,   34.9666,2,     131.8,2,        15,    0.0136,2
     226.0,2,   13.5296,2,   34.9645,2,     131.5,2,        16,    0.0140,2
     227.0,2,   13.5075,2,   34.9619,2,     131.2,2,        22,    0.0140,2
     228.0,2,   13.4935,2,   34.9612,2,     130.8,2,        35,    0.0136,2
     229.0,2,   13.4832,2,   34.9608,2,     130.4,2,        43,    0.0136,2
     230.0,2,   13.4726,2,   34.9619,2,     129.9,2,        26,    0.0128,2
     231.0,2,   13.4555,2,   34.9598,2,     129.7,2,        19,    0.0136,2
     232.0,2,   13.4093,2,   34.9554,2,     129.6,2,        18,    0.0128,2
     233.0,2,   13.3813,2,   34.9553,2,     129.1,2,        19,    0.0136,2
     234.0,2,   13.3703,2,   34.9544,2,     128.3,2,        25,    0.0136,2
     235.0,2,   13.3239,2,   34.9508,2,     127.1,2,        33,    0.0136,2
     236.0,2,   13.2720,2,   34.9470,2,     125.8,2,        29,    0.0140,2
     237.0,2,   13.1939,2,   34.9413,2,     124.8,2,        23,    0.0140,2
     238.0,2,   13.1710,2,   34.9406,2,     124.1,2,        21,    0.0128,2
     239.0,2,   13.1550,2,   34.9385,2,     123.3,2,        23,    0.0136,2
     240.0,2,   13.1499,2,   34.9380,2,     122.6,2,        29,    0.0140,2
     241.0,2,   13.1464,2,   34.9377,2,     122.1,2,        33,    0.0136,2
     242.0,2,   13.1278,2,   34.9352,2,     122.1,2,        25,    0.0128,2
     243.0,2,   13.1052,2,   34.9325,2,     122.3,2,        18,    0.0128,2
     244.0,2,   13.0902,2,   34.9312,2,     122.4,2,        17,    0.0128,2
     245.0,2,   13.0877,2,   34.9311,2,     122.3,2,        16,    0.0128,2
     246.0,2,   13.0835,2,   34.9310,2,     122.2,2,        18,    0.0124,2
     247.0,2,   13.0817,2,   34.9317,2,     122.0,2,        23,    0.0128,2
     248.0,2,   13.0673,2,   34.9291,2,     121.9,2,        36,    0.0132,2
     249.0,2,   13.0429,2,   34.9253,2,     121.6,2,        36,    0.0128,2
     250.0,2,   13.0147,2,   34.9207,2,     121.5,2,        25,    0.0124,2
     251.0,2,   12.9936,2,   34.9175,2,     121.3,2,        23,    0.0124,2
     252.0,2,   12.9723,2,   34.9146,2,     121.2,2,        25,    0.0124,2
     253.0,2,   12.9368,2,   34.9100,2,     120.9,2,        23,    0.0124,2
     254.0,2,   12.8563,2,   34.9021,2,     120.4,2,        20,    0.0128,2
     255.0,2,   12.7845,2,   34.9007,2,     119.7,2,        20,    0.0132,2
     256.0,2,   12.7686,2,   34.9011,2,     118.6,2,        23,    0.0124,2
     257.0,2,   12.7448,2,   34.9006,2,     116.9,2,        39,    0.0132,2
     258.0,2,   12.7106,2,   34.8987,2,     114.9,2,        36,    0.0132,2
     259.0,2,   12.6552,2,   34.8949,2,     114.0,2,        22,    0.0128,2
     260.0,2,   12.6510,2,   34.8948,2,     113.5,2,        18,    0.0124,2
     261.0,2,   12.6495,2,   34.8947,2,     113.0,2,        17,    0.0124,2
     262.0,2,   12.6461,2,   34.8944,2,     112.5,2,        15,    0.0124,2
     263.0,2,   12.6379,2,   34.8934,2,     112.3,2,        17,    0.0124,2
     264.0,2,   12.6311,2,   34.8930,2,     112.3,2,        18,    0.0128,2
     265.0,2,   12.6197,2,   34.8923,2,     112.4,2,        30,    0.0124,2
     266.0,2,   12.6123,2,   34.8919,2,     112.3,2,        40,    0.0128,2
     267.0,2,   12.6037,2,   34.8913,2,     112.1,2,        28,    0.0128,2
     268.0,2,   12.5954,2,   34.8904,2,     112.0,2,        19,    0.0124,2
     269.0,2,   12.5638,2,   34.8868,2,     112.0,2,        19,    0.0124,2
     270.0,2,   12.5508,2,   34.8872,2,     111.7,2,        23,    0.0124,2
     271.0,2,   12.5444,2,   34.8863,2,     111.0,2,        32,    0.0124,2
     272.0,2,   12.5349,2,   34.8852,2,     110.2,2,        31,    0.0128,2
     273.0,2,   12.5069,2,   34.8830,2,     109.7,2,        25,    0.0128,2
     274.0,2,   12.4897,2,   34.8816,2,     109.3,2,        22,    0.0124,2
