CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0321_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10321.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 32
CASTNO = 1
DATE = 20150419
TIME = 2344
LATITUDE = -3.0402
LONGITUDE = -151
DEPTH =  4576
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       3.0,2,   28.6896,3,   35.2578,3,     198.7,3,        21,    0.0605,2
       4.0,2,   28.6922,3,   35.2576,3,     199.0,3,        43,    0.0609,2
       5.0,2,   28.7002,3,   35.2577,3,     198.8,3,        44,    0.0605,2
       6.0,2,   28.7036,3,   35.2577,3,     198.9,3,        37,    0.0600,2
       7.0,2,   28.7043,2,   35.2577,2,     198.4,2,        44,    0.0613,2
       8.0,2,   28.6997,2,   35.2575,2,     198.9,2,        60,    0.0613,2
       9.0,2,   28.6736,2,   35.2579,2,     199.2,2,        47,    0.0617,2
      10.0,2,   28.6359,2,   35.2597,2,     199.6,2,        31,    0.0617,2
      11.0,2,   28.6243,2,   35.2603,2,     199.1,2,        45,    0.0633,2
      12.0,2,   28.6210,2,   35.2603,2,     199.5,2,        63,    0.0645,2
      13.0,2,   28.6187,2,   35.2607,2,     199.1,2,        53,    0.0633,2
      14.0,2,   28.6203,2,   35.2608,2,     199.1,2,        44,    0.0633,2
      15.0,2,   28.6164,2,   35.2611,2,     199.3,2,        46,    0.0637,2
      16.0,2,   28.6051,2,   35.2619,2,     199.3,2,        58,    0.0649,2
      17.0,2,   28.5899,2,   35.2625,2,     199.6,2,        54,    0.0645,2
      18.0,2,   28.5834,2,   35.2621,2,     199.5,2,        38,    0.0653,2
      19.0,2,   28.5807,2,   35.2619,2,     198.8,2,        39,    0.0653,2
      20.0,2,   28.5754,2,   35.2619,2,     199.5,2,        39,    0.0653,2
      21.0,2,   28.5707,2,   35.2628,2,     199.5,2,        43,    0.0661,2
      22.0,2,   28.5696,2,   35.2632,2,     199.6,2,        44,    0.0653,2
      23.0,2,   28.5573,2,   35.2647,2,     199.8,2,        47,    0.0657,2
      24.0,2,   28.5435,2,   35.2664,2,     200.2,2,        46,    0.0657,2
      25.0,2,   28.5217,2,   35.2682,2,     200.3,2,        44,    0.0666,2
      26.0,2,   28.4801,2,   35.2700,2,     199.9,2,        41,    0.0674,2
      27.0,2,   28.4255,2,   35.2721,2,     200.3,2,        28,    0.0674,2
      28.0,2,   28.4046,2,   35.2723,2,     200.4,2,        34,    0.0674,2
      29.0,2,   28.3836,2,   35.2726,2,     200.6,2,        28,    0.0661,2
      30.0,2,   28.3627,2,   35.2729,2,     200.8,2,        40,    0.0670,2
      31.0,2,   28.3481,2,   35.2708,2,     200.9,2,        26,    0.0686,2
      32.0,2,   28.3392,2,   35.2696,2,     201.1,2,        26,    0.0686,2
      33.0,2,   28.3306,2,   35.2680,2,     200.8,2,        50,    0.0686,2
      34.0,2,   28.3268,2,   35.2673,2,     201.1,2,        56,    0.0694,2
      35.0,2,   28.3243,2,   35.2669,2,     200.6,2,        47,    0.0694,2
      36.0,2,   28.3218,2,   35.2664,2,     200.5,2,        46,    0.0682,2
      37.0,2,   28.3201,2,   35.2661,2,     200.3,2,        46,    0.0698,2
      38.0,2,   28.3218,2,   35.2662,2,     200.7,2,        38,    0.0690,2
      39.0,2,   28.3170,2,   35.2656,2,     200.4,2,        27,    0.0686,2
      40.0,2,   28.3166,2,   35.2653,2,     200.1,2,        35,    0.0686,2
      41.0,2,   28.3146,2,   35.2648,2,     200.4,2,        47,    0.0690,2
      42.0,2,   28.3132,2,   35.2645,2,     200.5,2,        39,    0.0694,2
      43.0,2,   28.3140,2,   35.2645,2,     200.1,2,        46,    0.0690,2
      44.0,2,   28.3123,2,   35.2641,2,     200.6,2,        47,    0.0686,2
      45.0,2,   28.3091,2,   35.2635,2,     200.6,2,        52,    0.0690,2
      46.0,2,   28.3068,2,   35.2629,2,     200.6,2,        35,    0.0686,2
      47.0,2,   28.3042,2,   35.2624,2,     200.6,2,        25,    0.0686,2
      48.0,2,   28.2997,2,   35.2619,2,     200.8,2,        29,    0.0682,2
      49.0,2,   28.2981,2,   35.2618,2,     200.6,2,        46,    0.0690,2
      50.0,2,   28.2904,2,   35.2612,2,     200.2,2,        42,    0.0694,2
      51.0,2,   28.2850,2,   35.2612,2,     200.1,2,        45,    0.0686,2
      52.0,2,   28.2800,2,   35.2613,2,     200.3,2,        34,    0.0686,2
      53.0,2,   28.2729,2,   35.2613,2,     200.1,2,        42,    0.0682,2
      54.0,2,   28.2677,2,   35.2613,2,     200.3,2,        47,    0.0706,2
      55.0,2,   28.2607,2,   35.2613,2,     199.9,2,        52,    0.0686,2
      56.0,2,   28.2562,2,   35.2613,2,     200.5,2,        57,    0.0678,2
      57.0,2,   28.2488,2,   35.2613,2,     200.7,2,        43,    0.0698,2
      58.0,2,   28.2417,2,   35.2614,2,     200.6,2,        46,    0.0690,2
      59.0,2,   28.2339,2,   35.2615,2,     200.4,2,        32,    0.0666,2
      60.0,2,   28.2217,2,   35.2619,2,     200.2,2,        26,    0.0670,2
      61.0,2,   28.2086,2,   35.2633,2,     199.9,2,        27,    0.0674,2
      62.0,2,   28.1915,2,   35.2642,2,     200.2,2,        41,    0.0653,2
      63.0,2,   28.1861,2,   35.2647,2,     200.0,2,        44,    0.0645,2
      64.0,2,   28.1801,2,   35.2648,2,     199.5,2,        39,    0.0653,2
      65.0,2,   28.1756,2,   35.2645,2,     199.4,2,        42,    0.0637,2
      66.0,2,   28.1730,2,   35.2645,2,     199.7,2,        33,    0.0641,2
      67.0,2,   28.1668,2,   35.2639,2,     200.0,2,        25,    0.0641,2
      68.0,2,   28.1596,2,   35.2631,2,     200.0,2,        25,    0.0645,2
      69.0,2,   28.1486,2,   35.2609,2,     199.9,2,        33,    0.0633,2
      70.0,2,   28.1422,2,   35.2594,2,     200.0,2,        51,    0.0641,2
      71.0,2,   28.1341,2,   35.2597,2,     199.8,2,        29,    0.0633,2
      72.0,2,   28.1235,2,   35.2584,2,     199.8,2,        20,    0.0637,2
      73.0,2,   28.1150,2,   35.2569,2,     200.0,2,        19,    0.0633,2
      74.0,2,   28.1051,2,   35.2551,2,     200.3,2,        20,    0.0621,2
      75.0,2,   28.0910,2,   35.2527,2,     199.8,2,        26,    0.0617,2
      76.0,2,   28.0756,2,   35.2514,2,     199.5,2,        38,    0.0617,2
      77.0,2,   28.0603,2,   35.2497,2,     199.2,2,        48,    0.0613,2
      78.0,2,   28.0361,2,   35.2464,2,     199.2,2,        53,    0.0605,2
      79.0,2,   28.0198,2,   35.2444,2,     199.3,2,        26,    0.0609,2
      80.0,2,   28.0176,2,   35.2439,2,     198.6,2,        20,    0.0605,2
      81.0,2,   28.0134,2,   35.2431,2,     198.9,2,        19,    0.0625,2
      82.0,2,   28.0065,2,   35.2419,2,     199.4,2,        20,    0.0605,2
      83.0,2,   27.9940,2,   35.2416,2,     199.4,2,        23,    0.0605,2
      84.0,2,   27.9809,2,   35.2463,2,     199.2,2,        25,    0.0605,2
      85.0,2,   27.9672,2,   35.2508,2,     199.0,2,        23,    0.0605,2
      86.0,2,   27.9374,2,   35.2578,2,     199.2,2,        22,    0.0605,2
      87.0,2,   27.9023,2,   35.2678,2,     199.1,2,        22,    0.0613,2
      88.0,2,   27.8884,2,   35.2781,2,     198.7,2,        28,    0.0605,2
      89.0,2,   27.8839,2,   35.2818,2,     198.8,2,        53,    0.0600,2
      90.0,2,   27.8844,2,   35.2839,2,     198.5,2,        35,    0.0584,2
      91.0,2,   27.8855,2,   35.2856,2,     198.3,2,        27,    0.0584,2
      92.0,2,   27.8855,2,   35.2881,2,     198.5,2,        23,    0.0576,2
      93.0,2,   27.8762,2,   35.2925,2,     198.4,2,        22,    0.0572,2
      94.0,2,   27.8327,2,   35.3033,2,     198.6,2,        19,    0.0572,2
      95.0,2,   27.6693,2,   35.3225,2,     198.5,2,        19,    0.0572,2
      96.0,2,   27.4987,2,   35.3065,2,     198.7,2,        19,    0.0564,2
      97.0,2,   27.2727,2,   35.2828,2,     198.9,2,        21,    0.0564,2
      98.0,2,   27.0303,2,   35.2630,2,     199.0,2,        25,    0.0605,2
      99.0,2,   26.9497,2,   35.2577,2,     198.4,2,        29,    0.0544,2
     100.0,2,   26.9008,2,   35.2547,2,     197.8,2,        28,    0.0540,2
     101.0,2,   26.8581,2,   35.2539,2,     197.3,2,        25,    0.0536,2
     102.0,2,   26.8340,2,   35.2536,2,     196.7,2,        26,    0.0540,2
     103.0,2,   26.8120,2,   35.2517,2,     196.3,2,        25,    0.0527,2
     104.0,2,   26.7748,2,   35.2464,2,     196.2,2,        23,    0.0519,2
     105.0,2,   26.7615,2,   35.2449,2,     196.2,2,        24,    0.0515,2
     106.0,2,   26.7510,2,   35.2433,2,     196.2,2,        26,    0.0511,2
     107.0,2,   26.7421,2,   35.2417,2,     196.6,2,        31,    0.0499,2
     108.0,2,   26.7334,2,   35.2427,2,     196.4,2,        29,    0.0491,2
     109.0,2,   26.7253,2,   35.2452,2,     196.6,2,        25,    0.0487,2
     110.0,2,   26.6931,2,   35.2451,2,     196.6,2,        24,    0.0483,2
     111.0,2,   26.5779,2,   35.2380,2,     196.3,2,        24,    0.0475,2
     112.0,2,   26.5199,2,   35.2292,2,     196.0,2,        22,    0.0471,2
     113.0,2,   26.4594,2,   35.2193,2,     195.7,2,        19,    0.0471,2
     114.0,2,   26.3622,2,   35.2131,2,     195.4,2,        17,    0.0467,2
     115.0,2,   26.3049,2,   35.2099,2,     195.4,2,        18,    0.0463,2
     116.0,2,   26.2689,2,   35.2066,2,     195.3,2,        19,    0.0459,2
     117.0,2,   26.2631,2,   35.2059,2,     194.4,2,        29,    0.0451,2
     118.0,2,   26.2526,2,   35.2057,2,     193.8,2,        40,    0.0446,2
     119.0,2,   26.2248,2,   35.2050,2,     193.9,2,        30,    0.0438,2
     120.0,2,   26.1942,2,   35.2073,2,     194.5,2,        25,    0.0438,2
     121.0,2,   26.1377,2,   35.2065,2,     194.7,2,        26,    0.0438,2
     122.0,2,   26.1081,2,   35.2090,2,     194.2,2,        27,    0.0434,2
     123.0,2,   26.0849,2,   35.2155,2,     194.2,2,        27,    0.0426,2
     124.0,2,   26.0994,2,   35.2324,2,     193.9,2,        25,    0.0426,2
     125.0,2,   26.1394,2,   35.2593,2,     193.4,2,        23,    0.0414,2
     126.0,2,   26.1729,2,   35.2780,2,     192.7,2,        22,    0.0406,2
     127.0,2,   26.1657,2,   35.2836,2,     192.5,2,        20,    0.0394,2
     128.0,2,   26.1080,2,   35.3572,2,     191.7,2,        18,    0.0386,2
     129.0,2,   26.0536,2,   35.3618,2,     191.4,2,        19,    0.0378,2
     130.0,2,   26.0285,2,   35.3611,2,     190.2,2,        18,    0.0366,2
     131.0,2,   25.9685,2,   35.3586,2,     188.7,2,        18,    0.0358,2
     132.0,2,   25.8653,2,   35.3560,2,     188.1,2,        21,    0.0354,2
     133.0,2,   25.6690,2,   35.3495,2,     188.0,2,        37,    0.0350,2
     134.0,2,   25.5441,2,   35.3453,2,     185.6,2,        60,    0.0325,2
     135.0,2,   25.2174,2,   35.3714,2,     184.8,2,        30,    0.0325,2
     136.0,2,   25.1086,2,   35.3808,2,     183.8,2,        21,    0.0313,2
     137.0,2,   25.0593,2,   35.3833,2,     181.8,2,        18,    0.0301,2
     138.0,2,   24.9859,2,   35.3932,2,     180.5,2,        17,    0.0301,2
     139.0,2,   24.8864,2,   35.4039,2,     179.8,2,        16,    0.0301,2
     140.0,2,   24.7626,2,   35.4173,2,     179.1,2,        16,    0.0301,2
     141.0,2,   24.6452,2,   35.4299,2,     177.6,2,        16,    0.0297,2
     142.0,2,   24.5732,2,   35.4389,2,     176.3,2,        16,    0.0289,2
     143.0,2,   24.4368,2,   35.4528,2,     175.4,2,        19,    0.0281,2
     144.0,2,   24.1654,2,   35.4799,2,     174.5,2,        24,    0.0281,2
     145.0,2,   23.9764,2,   35.4958,2,     171.3,2,        54,    0.0281,2
     146.0,2,   23.8470,2,   35.5096,2,     166.7,2,        50,    0.0273,2
     147.0,2,   23.7344,2,   35.5249,2,     166.3,2,        24,    0.0277,2
     148.0,2,   23.6913,2,   35.5308,2,     166.6,2,        19,    0.0277,2
     149.0,2,   23.6603,2,   35.5415,2,     166.5,2,        17,    0.0269,2
     150.0,2,   23.5219,2,   35.5619,2,     166.2,2,        17,    0.0269,2
     151.0,2,   23.3814,2,   35.5820,2,     165.2,2,        17,    0.0269,2
     152.0,2,   23.1318,2,   35.6148,2,     163.4,2,        17,    0.0277,2
     153.0,2,   22.5848,2,   35.6670,2,     161.2,2,        19,    0.0265,2
