CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0781_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10781.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 78
CASTNO = 1
DATE = 20150501
TIME = 0851
LATITUDE = 5.6697
LONGITUDE = -150.9992
DEPTH =  5260
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       2.0,2,   28.6493,3,   34.6454,3,     197.1,3,        19,    0.0800,2
       3.0,2,   28.6480,3,   34.6449,3,     197.4,3,        44,    0.0808,2
       4.0,2,   28.6504,2,   34.6444,2,     197.7,2,        41,    0.0820,2
       5.0,2,   28.6465,2,   34.6445,2,     197.6,2,        34,    0.0820,2
       6.0,2,   28.6500,2,   34.6444,2,     197.4,2,        43,    0.0808,2
       7.0,2,   28.6504,2,   34.6440,2,     197.0,2,        32,    0.0812,2
       8.0,2,   28.6522,2,   34.6441,2,     197.3,2,        39,    0.0800,2
       9.0,2,   28.6522,2,   34.6440,2,     197.5,2,        45,    0.0796,2
      10.0,2,   28.6510,2,   34.6438,2,     198.0,2,        40,    0.0800,2
      11.0,2,   28.6512,2,   34.6437,2,     197.7,2,        45, -999.0000,9
      12.0,2,   28.6516,2,   34.6438,2,     197.4,2,        41,    0.0816,2
      13.0,2,   28.6510,2,   34.6439,2,     197.4,2,        23,    0.0788,2
      14.0,2,   28.6523,2,   34.6442,2,     197.7,2,        20,    0.0804,2
      15.0,2,   28.6522,2,   34.6440,2,     198.0,2,        24,    0.0792,2
      16.0,2,   28.6499,2,   34.6438,2,     197.8,2,        41,    0.0804,2
      17.0,2,   28.6479,2,   34.6439,2,     198.1,2,        27,    0.0800,2
      18.0,2,   28.6484,2,   34.6439,2,     198.3,2,        30,    0.0792,2
      19.0,2,   28.6455,2,   34.6435,2,     198.1,2,        30,    0.0800,2
      20.0,2,   28.6475,2,   34.6441,2,     198.2,2,        27,    0.0800,2
      21.0,2,   28.6396,2,   34.6427,2,     198.4,2,        39,    0.0804,2
      22.0,2,   28.5926,2,   34.6385,2,     197.9,2,        24,    0.0808,2
      23.0,2,   28.5828,2,   34.6380,2,     197.9,2,        22,    0.0808,2
      24.0,2,   28.5815,2,   34.6379,2,     198.2,2,        26,    0.0808,2
      25.0,2,   28.5826,2,   34.6403,2,     198.0,2,        43,    0.0837,2
      26.0,2,   28.5830,2,   34.6416,2,     198.1,2,        29,    0.0804,2
      27.0,2,   28.5839,2,   34.6461,2,     198.0,2,        19,    0.0812,2
      28.0,2,   28.5740,2,   34.6473,2,     197.7,2,        23,    0.0829,2
      29.0,2,   28.5663,2,   34.6484,2,     197.8,2,        45,    0.0816,2
